seed,method,estimate,bias,alpha,beta,propensity_spec,outcome_spec,setting,n,truth,truth_key
23,IPW,0.7871930225276651,-0.2128069774723349,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
23,IPW.fal,0.5048847544639983,-0.4951152455360017,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
23,OR,0.817145494806483,-0.18285450519351698,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
23,OR.fal,0.6514074271316489,-0.3485925728683511,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
23,DR,0.8123817460856315,-0.18761825391436848,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
23,DR.ofal,0.799987089600729,-0.20001291039927105,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
23,DR.pfal,0.8193372037753858,-0.18066279622461423,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
23,DR.o&pfal,0.660695002824174,-0.33930499717582596,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
24,IPW,1.0588783075303358,0.05887830753033585,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
24,IPW.fal,0.5187627253136661,-0.4812372746863339,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
